# Task	= SimpleRun
# numericalMethod	= RK4
# debug	= 0
# intelegentStop	= 1
# Variable	= Frequency
# numberOfPeriods	= 10000
# maxNumberOfPeriods	= 25000
# numberOfExtremums	= 1000
# skipPeriods	= 25000
# printStep	= 10
# printLastNperiods	= 10
# timeStep	= 0.001
# outputPrecision	= 15
# acceptableDiff	= 1e-05
# alpha	= 0.1
# amplitude	= 0.1
# Hz	= 0
# frequency	= 0.1
# magnetization	= 338
# viscosity	= 0.006
# varMin	= 0.1
# varMax	= 1.55
# varStep	= 0.05
# smallTheta	= 0.005
# smallPhi	= 0.005
# bigTheta	= 0.0051
# bigPhi	= 3.14
# thermalBath	= 0
# linearPolarization	= 0
# hySign	= 1
===== Skipping 25000 periods =====
time	smallTheta	bigTheta	smallPhi	bigPhi	energy	energy/time	Frequency
1.571108663508525e+06	1.113686926925129e-01	6.014035802664311e-04	1.571108492804132e+05	8.321266746255799e+04	1.942688064406711e+01	1.236109739944544e-05	1.000000000000000e-01
1.571736353720502e+06	1.113695362508718e-01	6.044521710024306e-04	1.571736182737313e+05	8.327543824688267e+04	1.943463958392864e+01	1.236109739969091e-05	1.000000000000000e-01
1.572364043932479e+06	1.113705694475608e-01	6.074248660226894e-04	1.572363872676361e+05	8.333820932190611e+04	1.944239852379009e+01	1.236109739994889e-05	1.000000000000000e-01
1.572991734144456e+06	1.113717875217887e-01	6.103113156077857e-04	1.572991562622334e+05	8.340098067503978e+04	1.945015746365048e+01	1.236109740019420e-05	1.000000000000000e-01
1.573619424356433e+06	1.113731849364383e-01	6.131016553301332e-04	1.573619252576256e+05	8.346375229318332e+04	1.945791640351047e+01	1.236109740045116e-05	1.000000000000000e-01
1.574247114568410e+06	1.113747555567921e-01	6.157865229919132e-04	1.574246942539117e+05	8.352652416280283e+04	1.946567534336993e+01	1.236109740069901e-05	1.000000000000000e-01
1.574874804780386e+06	1.113764925036486e-01	6.183570708075629e-04	1.574874632511868e+05	8.358929626999205e+04	1.947343428322830e+01	1.236109740094991e-05	1.000000000000000e-01
1.575502494992363e+06	1.113783883466592e-01	6.208049802947235e-04	1.575502322495420e+05	8.365206860053648e+04	1.948119322308605e+01	1.236109740120201e-05	1.000000000000000e-01
1.576130185204340e+06	1.113804349906261e-01	6.231224689367904e-04	1.576130012490632e+05	8.371484113996178e+04	1.948895216294259e+01	1.236109740143843e-05	1.000000000000000e-01
1.576757875416317e+06	1.113826237622825e-01	6.253023015636760e-04	1.576757702498320e+05	8.377761387358449e+04	1.949671110279846e+01	1.236109740168164e-05	1.000000000000000e-01
